Plant,Pollinator,edge.weight,site
Andromeda glaucophylla,Colletes inaequalis,0,A
Andromeda glaucophylla,Dialictus pilosus,0,A
Kalmia polifolia,Adela purpurea,0,A
Kalmia polifolia,Thymelicus lineola,0,A
Kalmia polifolia,Macrodactlyus subspinosus,0,A
Kalmia polifolia,Cyphon variabilis,0,A
Kalmia polifolia,Hybomitra minuscula,0,A
Kalmia polifolia,Hybomitra typhus,0,A
Kalmia polifolia,Dilophus caurinus,0,A
Kalmia polifolia,Spilogona fatima,0,A
Kalmia polifolia,Shaerophoria sp ,0,A
Kalmia polifolia,Pyrophaena rosarum,0,A
Kalmia polifolia,Melanostoma sp ,0,A
Kalmia polifolia,Sercomyia transversa,4,A
Kalmia polifolia,Eristalis dimidiata,0,A
Kalmia polifolia,Helophilus latifrons,0,A
Kalmia polifolia,Helophilus fasciatus,0,A
Kalmia polifolia,Helophilus laetus,0,A
Kalmia polifolia,Syritta pipiens,0,A
Kalmia polifolia,Toxomerus marginatus,0,A
Kalmia polifolia,Syrphus torvus,0,A
Kalmia polifolia,Apis mellifera,1,A
Kalmia polifolia,Bombus terricola,0,A
Kalmia polifolia,Pyrobombus impatiens,1,A
Kalmia polifolia,Pyrobombus perplexus,1,A
Kalmia polifolia,Pyrobombus sandersoni,1,A
Kalmia polifolia,Pyrobombus ternarius,3,A
Kalmia polifolia,Andrena alleghaniensis,0,A
Kalmia polifolia,Andrena bradleyi,2,A
Kalmia polifolia,Andrena carlini,0,A
Kalmia polifolia,Andrena carolina,0,A
Kalmia polifolia,Andrena mandibularis,13,A
Kalmia polifolia,Andrena regularis,6,A
Kalmia polifolia,Andrena vicina,1,A
Kalmia polifolia,Colletes inaequalis,0,A
Kalmia polifolia,Dialictus pilosus,4,A
Smilacina trifolia,Adela purpurea,0,A
Smilacina trifolia,Thymelicus lineola,0,A
Smilacina trifolia,Macrodactlyus subspinosus,0,A
Smilacina trifolia,Cyphon variabilis,0,A
Smilacina trifolia,Hybomitra minuscula,0,A
Smilacina trifolia,Hybomitra typhus,0,A
Smilacina trifolia,Dilophus caurinus,0,A
Smilacina trifolia,Spilogona fatima,1,A
Smilacina trifolia,Shaerophoria sp ,2,A
Smilacina trifolia,Pyrophaena rosarum,6,A
Smilacina trifolia,Melanostoma sp ,9,A
Smilacina trifolia,Sercomyia transversa,0,A
Smilacina trifolia,Eristalis dimidiata,0,A
Smilacina trifolia,Helophilus latifrons,0,A
Smilacina trifolia,Helophilus fasciatus,0,A
Smilacina trifolia,Helophilus laetus,0,A
Smilacina trifolia,Syritta pipiens,1,A
Smilacina trifolia,Toxomerus marginatus,0,A
Smilacina trifolia,Syrphus torvus,0,A
Smilacina trifolia,Apis mellifera,0,A
Smilacina trifolia,Bombus terricola,0,A
Smilacina trifolia,Pyrobombus impatiens,0,A
Smilacina trifolia,Pyrobombus perplexus,0,A
Smilacina trifolia,Pyrobombus sandersoni,0,A
Smilacina trifolia,Pyrobombus ternarius,0,A
Smilacina trifolia,Andrena alleghaniensis,0,A
Smilacina trifolia,Andrena bradleyi,0,A
Smilacina trifolia,Andrena carlini,0,A
Smilacina trifolia,Andrena carolina,0,A
Smilacina trifolia,Andrena mandibularis,0,A
Smilacina trifolia,Andrena regularis,0,A
Smilacina trifolia,Andrena vicina,0,A
Smilacina trifolia,Colletes inaequalis,0,A
Smilacina trifolia,Dialictus pilosus,0,A
Vaccinium myrtilloides,Adela purpurea,0,A
Vaccinium myrtilloides,Thymelicus lineola,0,A
Vaccinium myrtilloides,Macrodactlyus subspinosus,0,A
Vaccinium myrtilloides,Cyphon variabilis,0,A
Vaccinium myrtilloides,Hybomitra minuscula,0,A
Vaccinium myrtilloides,Hybomitra typhus,0,A
Vaccinium myrtilloides,Dilophus caurinus,0,A
Vaccinium myrtilloides,Spilogona fatima,0,A
Vaccinium myrtilloides,Shaerophoria sp ,0,A
Vaccinium myrtilloides,Pyrophaena rosarum,0,A
Vaccinium myrtilloides,Melanostoma sp ,0,A
Vaccinium myrtilloides,Sercomyia transversa,1,A
Vaccinium myrtilloides,Eristalis dimidiata,0,A
Vaccinium myrtilloides,Helophilus latifrons,0,A
Vaccinium myrtilloides,Helophilus fasciatus,0,A
Vaccinium myrtilloides,Helophilus laetus,0,A
Vaccinium myrtilloides,Syritta pipiens,0,A
Vaccinium myrtilloides,Toxomerus marginatus,0,A
Vaccinium myrtilloides,Syrphus torvus,0,A
Vaccinium myrtilloides,Apis mellifera,20,A
Vaccinium myrtilloides,Bombus terricola,14,A
Vaccinium myrtilloides,Pyrobombus impatiens,17,A
Vaccinium myrtilloides,Pyrobombus perplexus,14,A
Vaccinium myrtilloides,Pyrobombus sandersoni,7,A
Vaccinium myrtilloides,Pyrobombus ternarius,16,A
Vaccinium myrtilloides,Andrena alleghaniensis,0,A
Vaccinium myrtilloides,Andrena bradleyi,12,A
Vaccinium myrtilloides,Andrena carlini,1,A
Vaccinium myrtilloides,Andrena carolina,6,A
Vaccinium myrtilloides,Andrena mandibularis,1,A
Vaccinium myrtilloides,Andrena regularis,10,A
Vaccinium myrtilloides,Andrena vicina,7,A
Vaccinium myrtilloides,Colletes inaequalis,11,A
Vaccinium myrtilloides,Dialictus pilosus,0,A
Aronia melanocarpa,Adela purpurea,0,A
Aronia melanocarpa,Thymelicus lineola,0,A
Aronia melanocarpa,Macrodactlyus subspinosus,0,A
Aronia melanocarpa,Cyphon variabilis,0,A
Aronia melanocarpa,Hybomitra minuscula,0,A
Aronia melanocarpa,Hybomitra typhus,0,A
Aronia melanocarpa,Dilophus caurinus,0,A
Aronia melanocarpa,Spilogona fatima,0,A
Aronia melanocarpa,Shaerophoria sp ,8,A
Aronia melanocarpa,Pyrophaena rosarum,0,A
Aronia melanocarpa,Melanostoma sp ,1,A
Aronia melanocarpa,Sercomyia transversa,0,A
Aronia melanocarpa,Eristalis dimidiata,2,A
Aronia melanocarpa,Helophilus latifrons,1,A
Aronia melanocarpa,Helophilus fasciatus,2,A
Aronia melanocarpa,Helophilus laetus,3,A
Aronia melanocarpa,Syritta pipiens,14,A
Aronia melanocarpa,Toxomerus marginatus,0,A
Aronia melanocarpa,Syrphus torvus,13,A
Aronia melanocarpa,Apis mellifera,0,A
Aronia melanocarpa,Bombus terricola,0,A
Aronia melanocarpa,Pyrobombus impatiens,0,A
Aronia melanocarpa,Pyrobombus perplexus,2,A
Aronia melanocarpa,Pyrobombus sandersoni,2,A
Aronia melanocarpa,Pyrobombus ternarius,1,A
Aronia melanocarpa,Andrena alleghaniensis,3,A
Aronia melanocarpa,Andrena bradleyi,0,A
Aronia melanocarpa,Andrena carlini,0,A
Aronia melanocarpa,Andrena carolina,0,A
Aronia melanocarpa,Andrena mandibularis,0,A
Aronia melanocarpa,Andrena regularis,7,A
Aronia melanocarpa,Andrena vicina,1,A
Aronia melanocarpa,Colletes inaequalis,2,A
Aronia melanocarpa,Dialictus pilosus,7,A
Ledum groenlandicum,Adela purpurea,0,A
Ledum groenlandicum,Thymelicus lineola,0,A
Ledum groenlandicum,Macrodactlyus subspinosus,0,A
Ledum groenlandicum,Cyphon variabilis,0,A
Ledum groenlandicum,Hybomitra minuscula,0,A
Ledum groenlandicum,Hybomitra typhus,0,A
Ledum groenlandicum,Dilophus caurinus,0,A
Ledum groenlandicum,Spilogona fatima,0,A
Ledum groenlandicum,Shaerophoria sp ,4,A
Ledum groenlandicum,Pyrophaena rosarum,1,A
Ledum groenlandicum,Melanostoma sp ,0,A
Ledum groenlandicum,Sercomyia transversa,2,A
Ledum groenlandicum,Eristalis dimidiata,5,A
Ledum groenlandicum,Helophilus latifrons,14,A
Ledum groenlandicum,Helophilus fasciatus,4,A
Ledum groenlandicum,Helophilus laetus,4,A
Ledum groenlandicum,Syritta pipiens,0,A
Ledum groenlandicum,Toxomerus marginatus,0,A
Ledum groenlandicum,Syrphus torvus,0,A
Ledum groenlandicum,Apis mellifera,0,A
Ledum groenlandicum,Bombus terricola,22,A
Ledum groenlandicum,Pyrobombus impatiens,5,A
Ledum groenlandicum,Pyrobombus perplexus,0,A
Ledum groenlandicum,Pyrobombus sandersoni,3,A
Ledum groenlandicum,Pyrobombus ternarius,9,A
Ledum groenlandicum,Andrena alleghaniensis,2,A
Ledum groenlandicum,Andrena bradleyi,0,A
Ledum groenlandicum,Andrena carlini,1,A
Ledum groenlandicum,Andrena carolina,4,A
Ledum groenlandicum,Andrena mandibularis,9,A
Ledum groenlandicum,Andrena regularis,31,A
Ledum groenlandicum,Andrena vicina,11,A
Ledum groenlandicum,Colletes inaequalis,3,A
Ledum groenlandicum,Dialictus pilosus,0,A
Gaylussacia baccata,Adela purpurea,0,A
Gaylussacia baccata,Thymelicus lineola,0,A
Gaylussacia baccata,Macrodactlyus subspinosus,0,A
Gaylussacia baccata,Cyphon variabilis,0,A
Gaylussacia baccata,Hybomitra minuscula,0,A
Gaylussacia baccata,Hybomitra typhus,1,A
Gaylussacia baccata,Dilophus caurinus,0,A
Gaylussacia baccata,Spilogona fatima,0,A
Gaylussacia baccata,Shaerophoria sp ,0,A
Gaylussacia baccata,Pyrophaena rosarum,0,A
Gaylussacia baccata,Melanostoma sp ,0,A
Gaylussacia baccata,Sercomyia transversa,23,A
Gaylussacia baccata,Eristalis dimidiata,7,A
Gaylussacia baccata,Helophilus latifrons,4,A
Gaylussacia baccata,Helophilus fasciatus,3,A
Gaylussacia baccata,Helophilus laetus,0,A
Gaylussacia baccata,Syritta pipiens,0,A
Gaylussacia baccata,Toxomerus marginatus,0,A
Gaylussacia baccata,Syrphus torvus,0,A
Gaylussacia baccata,Apis mellifera,1,A
Gaylussacia baccata,Bombus terricola,7,A
Gaylussacia baccata,Pyrobombus impatiens,3,A
Gaylussacia baccata,Pyrobombus perplexus,0,A
Gaylussacia baccata,Pyrobombus sandersoni,14,A
Gaylussacia baccata,Pyrobombus ternarius,6,A
Gaylussacia baccata,Andrena alleghaniensis,0,A
Gaylussacia baccata,Andrena bradleyi,4,A
Gaylussacia baccata,Andrena carlini,0,A
Gaylussacia baccata,Andrena carolina,5,A
Gaylussacia baccata,Andrena mandibularis,0,A
Gaylussacia baccata,Andrena regularis,7,A
Gaylussacia baccata,Andrena vicina,29,A
Gaylussacia baccata,Colletes inaequalis,0,A
Gaylussacia baccata,Dialictus pilosus,0,A
Kalmia angustifolia,Adela purpurea,0,A
Kalmia angustifolia,Thymelicus lineola,0,A
Kalmia angustifolia,Macrodactlyus subspinosus,0,A
Kalmia angustifolia,Cyphon variabilis,0,A
Kalmia angustifolia,Hybomitra minuscula,0,A
Kalmia angustifolia,Hybomitra typhus,13,A
Kalmia angustifolia,Dilophus caurinus,0,A
Kalmia angustifolia,Spilogona fatima,0,A
Kalmia angustifolia,Shaerophoria sp ,0,A
Kalmia angustifolia,Pyrophaena rosarum,1,A
Kalmia angustifolia,Melanostoma sp ,0,A
Kalmia angustifolia,Sercomyia transversa,2,A
Kalmia angustifolia,Eristalis dimidiata,0,A
Kalmia angustifolia,Helophilus latifrons,0,A
Kalmia angustifolia,Helophilus fasciatus,1,A
Kalmia angustifolia,Helophilus laetus,0,A
Kalmia angustifolia,Syritta pipiens,3,A
Kalmia angustifolia,Toxomerus marginatus,0,A
Kalmia angustifolia,Syrphus torvus,0,A
Kalmia angustifolia,Apis mellifera,0,A
Kalmia angustifolia,Bombus terricola,0,A
Kalmia angustifolia,Pyrobombus impatiens,0,A
Kalmia angustifolia,Pyrobombus perplexus,0,A
Kalmia angustifolia,Pyrobombus sandersoni,2,A
Kalmia angustifolia,Pyrobombus ternarius,3,A
Kalmia angustifolia,Andrena alleghaniensis,0,A
Kalmia angustifolia,Andrena bradleyi,0,A
Kalmia angustifolia,Andrena carlini,0,A
Kalmia angustifolia,Andrena carolina,0,A
Kalmia angustifolia,Andrena mandibularis,3,A
Kalmia angustifolia,Andrena regularis,0,A
Kalmia angustifolia,Andrena vicina,0,A
Kalmia angustifolia,Colletes inaequalis,0,A
Kalmia angustifolia,Dialictus pilosus,0,A
Calopogon pulchellus,Adela purpurea,0,A
Calopogon pulchellus,Thymelicus lineola,7,A
Calopogon pulchellus,Macrodactlyus subspinosus,0,A
Calopogon pulchellus,Cyphon variabilis,0,A
Calopogon pulchellus,Hybomitra minuscula,0,A
Calopogon pulchellus,Hybomitra typhus,0,A
Calopogon pulchellus,Dilophus caurinus,0,A
Calopogon pulchellus,Spilogona fatima,0,A
Calopogon pulchellus,Shaerophoria sp ,0,A
Calopogon pulchellus,Pyrophaena rosarum,0,A
Calopogon pulchellus,Melanostoma sp ,0,A
Calopogon pulchellus,Sercomyia transversa,0,A
Calopogon pulchellus,Eristalis dimidiata,0,A
Calopogon pulchellus,Helophilus latifrons,0,A
Calopogon pulchellus,Helophilus fasciatus,0,A
Calopogon pulchellus,Helophilus laetus,0,A
Calopogon pulchellus,Syritta pipiens,0,A
Calopogon pulchellus,Toxomerus marginatus,14,A
Calopogon pulchellus,Syrphus torvus,0,A
Calopogon pulchellus,Apis mellifera,0,A
Calopogon pulchellus,Bombus terricola,0,A
Calopogon pulchellus,Pyrobombus impatiens,0,A
Calopogon pulchellus,Pyrobombus perplexus,0,A
Calopogon pulchellus,Pyrobombus sandersoni,0,A
Calopogon pulchellus,Pyrobombus ternarius,0,A
Calopogon pulchellus,Andrena alleghaniensis,0,A
Calopogon pulchellus,Andrena bradleyi,0,A
Calopogon pulchellus,Andrena carlini,0,A
Calopogon pulchellus,Andrena carolina,0,A
Calopogon pulchellus,Andrena mandibularis,0,A
Calopogon pulchellus,Andrena regularis,0,A
Calopogon pulchellus,Andrena vicina,0,A
Calopogon pulchellus,Colletes inaequalis,0,A
Calopogon pulchellus,Dialictus pilosus,0,A
Spiraea alba,Adela purpurea,0,A
Spiraea alba,Thymelicus lineola,3,A
Spiraea alba,Macrodactlyus subspinosus,15,A
Spiraea alba,Cyphon variabilis,0,A
Spiraea alba,Hybomitra minuscula,12,A
Spiraea alba,Hybomitra typhus,0,A
Spiraea alba,Dilophus caurinus,0,A
Spiraea alba,Spilogona fatima,0,A
Spiraea alba,Shaerophoria sp ,0,A
Spiraea alba,Pyrophaena rosarum,1,A
Spiraea alba,Melanostoma sp ,0,A
Spiraea alba,Sercomyia transversa,0,A
Spiraea alba,Eristalis dimidiata,4,A
Spiraea alba,Helophilus latifrons,0,A
Spiraea alba,Helophilus fasciatus,0,A
Spiraea alba,Helophilus laetus,3,A
Spiraea alba,Syritta pipiens,1,A
Spiraea alba,Toxomerus marginatus,0,A
Spiraea alba,Syrphus torvus,0,A
Spiraea alba,Apis mellifera,0,A
Spiraea alba,Bombus terricola,36,A
Spiraea alba,Pyrobombus impatiens,1,A
Spiraea alba,Pyrobombus perplexus,2,A
Spiraea alba,Pyrobombus sandersoni,2,A
Spiraea alba,Pyrobombus ternarius,7,A
Spiraea alba,Andrena alleghaniensis,0,A
Spiraea alba,Andrena bradleyi,0,A
Spiraea alba,Andrena carlini,0,A
Spiraea alba,Andrena carolina,0,A
Spiraea alba,Andrena mandibularis,0,A
Spiraea alba,Andrena regularis,0,A
Spiraea alba,Andrena vicina,0,A
Spiraea alba,Colletes inaequalis,0,A
Spiraea alba,Dialictus pilosus,0,A
