Plant,Pollinator,edge.weight,site
Kalmia angustifolia,Helophilus fasciatus,1,A
Kalmia angustifolia,Syritta pipiens,3,A
Kalmia angustifolia,Pyrobombus sandersoni,2,A
Kalmia angustifolia,Pyrobombus ternarius,3,A
Kalmia angustifolia,Andrena mandibularis,3,A
Calopogon pulchellus,Thymelicus lineola,7,A
Calopogon pulchellus,Toxomerus marginatus,14,A
Spiraea alba,Thymelicus lineola,3,A
Spiraea alba,Macrodactlyus subspinosus,15,A
Spiraea alba,Hybomitra minuscula,12,A
Spiraea alba,Pyrophaena rosarum,1,A
Spiraea alba,Eristalis dimidiata,4,A
Spiraea alba,Helophilus laetus,3,A
Spiraea alba,Syritta pipiens,1,A
Spiraea alba,Bombus terricola,36,A
Spiraea alba,Pyrobombus impatiens,1,A
Spiraea alba,Pyrobombus perplexus,2,A
Spiraea alba,Pyrobombus sandersoni,2,A
Spiraea alba,Pyrobombus ternarius,7,A
